Strigatreatment_selection,strigapest,plot_data_id,county
Soyabean,yellow_light,210,HOMABAY
Manure,yellow_light,211,HOMABAY
FarmerOwnPractice,yellow_light,212,HOMABAY
Desmodium,yellow_light,213,HOMABAY
Lablab,yellow_light,214,HOMABAY
Manure,yellow_light,215,HOMABAY
FarmerOwnPractice,yellow_light,216,HOMABAY
Lablab,green_light,217,MIGORI
Manure,green_light,218,MIGORI
Desmodium,green_light,219,MIGORI
Manure,yellow_light,220,MIGORI
FarmerOwnPractice,red_light,221,MIGORI
Desmodium,red_light,222,KISUMU
Soyabean,yellow_light,223,KISUMU
Manure,yellow_light,224,KISUMU
Desmodium,green_light,225,MIGORI
Manure,green_light,226,MIGORI
FarmerOwnPractice,red_light,227,MIGORI
Desmodium,green_light,228,MIGORI
Lablab,green_light,229,MIGORI
Manure,yellow_light,230,MIGORI
FarmerOwnPractice,red_light,231,MIGORI
Lablab,green_light,232,MIGORI
FarmerOwnPractice,red_light,233,MIGORI
Desmodium,green_light,234,KISUMU
Soyabean,green_light,235,KISUMU
Manure,green_light,236,KISUMU
Desmodium,green_light,237,KISUMU
Lablab,green_light,238,KISUMU
Manure,green_light,239,KISUMU
Lablab,green_light,240,MIGORI
FarmerOwnPractice,red_light,241,MIGORI
Lablab,green_light,242,MIGORI
Manure,yellow_light,243,MIGORI
FarmerOwnPractice,red_light,244,MIGORI
Lablab,green_light,245,MIGORI
FarmerOwnPractice,red_light,246,MIGORI
Desmodium,green_light,247,KISUMU
Soyabean,green_light,248,KISUMU
Manure,green_light,249,KISUMU
Lablab,green_light,250,KISUMU
Soyabean,green_light,251,KISUMU
Manure,yellow_light,252,KISUMU
Soyabean,green_light,253,KISUMU
Manure,green_light,254,KISUMU
Desmodium,red_light,255,BUSIA
Lablab,yellow_light,256,BUSIA
FarmerOwnPractice,green_light,257,BUSIA
Desmodium,red_light,258,BUSIA
Lablab,yellow_light,259,BUSIA
FarmerOwnPractice,red_light,260,BUSIA
Desmodium,red_light,261,BUSIA
Soyabean,red_light,262,BUSIA
FarmerOwnPractice,yellow_light,263,BUSIA
Desmodium,yellow_light,264,KISUMU
